20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,01-Apr,02-Apr,03-Apr,04-Apr,05-Apr,06-Apr,07-Apr,08-Apr,09-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,01-May,02-May,03-May,04-May,05-May,06-May,07-May,08-May,09-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,01-Jun,02-Jun,03-Jun,04-Jun,05-Jun,06-Jun,07-Jun,08-Jun,09-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,01-Jul,02-Jul,03-Jul,04-Jul,05-Jul,06-Jul,07-Jul,08-Jul,09-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,01-Aug,02-Aug,03-Aug,04-Aug,05-Aug,06-Aug,07-Aug,08-Aug,09-Aug,10-Aug,11-Aug,12-Aug,13-Aug,14-Aug,15-Aug,16-Aug,17-Aug,18-Aug,19-Aug,20-Aug,21-Aug,22-Aug,23-Aug,24-Aug,25-Aug,26-Aug,27-Aug,28-Aug,29-Aug,30-Aug,31-Aug,01-Sep,02-Sep,03-Sep,04-Sep,05-Sep,06-Sep,07-Sep,08-Sep,09-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep
2.13E-05,4.26E-05,5.33E-05,0.000127816,0,4.26E-05,9.59E-05,5.33E-05,0.000138468,0.000106514,8.52E-05,0.000330192,0.000617779,5.33E-05,0.000607128,0.000852109,0.001182302,0.00124621,0.000426055,0.000873412,0.001129045,0.000159771,0.000489963,0.000521917,0.000489963,0.000671036,0.001203604,0.000692339,0.000660385,0.001107742,0.000788201,0.000830807,0.001118394,0.000958623,0.00077755,0.001033183,0.000894715,0.001203604,0.000500614,0.00093732,0.000809504,0.000862761,0.001033183,0.000649733,0.000916018,0.000820155,0.000745596,0.000830807,0.000756247,0.000916018,0.000532568,0.00077755,0.000884063,0.00124621,0.001310118,0.00093732,0.001224907,0.001512494,0.001097091,0.001001229,0.001203604,0.00101188,0.001033183,0.000884063,0.00132077,0.001065137,0.001139696,0.003759933,0.00140598,0.001139696,0.002535025,0.003770584,0.002204833,0.003291272,0.002108971,0.002279393,0.003312575,0.002875869,0.002375255,0.004399015,0.003003686,0.002268741,0.005208518,0.004154033,0.003930354,0.004420317,0.005730435,0.004633345,0.0054535,0.006369517,0.005315032,0.008510442,0.010033588,0.011045468,0.013601796,0.013260952,0.016072913,0.012994668,0.015689464,0.016935674,0.020056524,0.020653001,0.017308471,0.017564104,0.01784104,0.021920513,0.029067581,0.027853325,0.027565738,0.03358376,0.032561229,0.031804982,0.031581303,0.030739845,0.031858239,0.034105677,0.037120014,0.036640703,0.042914358,0.045470686,0.043457578,0.055887723,0.067497713,0.056154007,0.067902465,0.080939738,0.101880326,0.104244929,0.083219131,0.098205604,0.097289587,0.084657065,0.126293259,0.127582074,0.131672199,0.120988878,0.11126418,0.107482945,0.125249425,0.130159705,0.133514886,0.132364538,0.128476789,0.128625908,0.10183772,0.11632358,0.122788959,0.126932341,0.115098672,0.104745544,0.094861075,0.090131868,0.121585355,0.122128575,0.12099953,0.128008129,0.134846307,0.103712361,0.119082284,0.137881946,0.145124876,0.144357978,0.1414182,0.143495217,0.132886455,0.135677113,0.141237127,0.140693907,0.13502738,0.141524714,0.142717667,0.134164619,0.114608709,0.139319881,0.137956506,0.134217876,0.130766833,0.129062615,0.116664423,0.10666279,0.11843255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057356,0,0,0.00057356,0,0.00057356,0,0.010324084,0,0.009176964,0.002294241,0.001720681,0.00114712,0.002294241,0,0.003441361,0,0.002294241,0.003441361,0.011471205,0.002294241,0,0.002294241,0.002294241,0.002294241,0,0.018353928,0,0.002294241,0.005162042,0.005735602,0.00114712,0.006882723,0.002867801,0.002867801,0.002867801,0.002294241,0.002294241,0,0.032692934,0.004014922,0.005735602,0.00057356,0.003441361,0.006309163,0.008603404,0.018927488,0.003441361,0.010324084,0.016059687,0.043017018,0,0.04645838,0.037854976,0.02351597,0.051620422,0.028678012,0.039002096,0.052193982,0.02408953,0.037281416,0.040149217,0.018353928,0.04645838,0.052193982,0.045884819,0.042443458,0.061370946,0.04703194,0.014339006,0.034413615,0.018353928,0.037281416,0.053341103,0.057929584,0.039002096,0.021795289,0.043590578,0.055061783,0.059076705,0.04703194,0.054488223,0.029251572,0.02466309,0.02294241,0.076857072,0.043017018,0.066532988,0.034413615,0.055635344,0.02294241,0.028104452,0.057356024,0.082019115,0.044737699,0.064238747,0.075709952,0.090048958,0.044737699,0.057356024,0.084886916,0.122741892,0.115285609,0.079724874,0.049326181,0.103240844,0.127330374,0.082019115,0.072842151,0.087754717,0.086034036,0.083739795,0.101520163,0.096358121
0,0,0,0,0,0,0,0,0,0,0,0,0,2.74E-05,0.00041049,0.000218928,0,5.47E-05,0,2.74E-05,2.74E-05,2.74E-05,0,0,0,5.47E-05,2.74E-05,2.74E-05,5.47E-05,0,0,0,0,0,0,2.74E-05,0,0,0,0,5.47E-05,0,0.000109464,2.74E-05,0,0,0,0,5.47E-05,0.000246294,0.00013683,0.000109464,0,5.47E-05,0,0.00041049,0.000191562,8.21E-05,5.47E-05,0.000246294,0.000164196,0.000957809,0.000766247,0.000903077,0.001532495,0.001915618,0.001340933,0.004050164,0.002462938,0.004515386,0.002052448,0.004597484,0.004405922,0.00238084,0.003229185,0.003366015,0.00435119,0.008647648,0.004515386,0.006677298,0.004597484,0.00577422,0.004405922,0.004241726,0.006212076,0.004898509,0.006020514,0.009058137,0.002982891,0.004405922,0.007826668,0.004706947,0.003475479,0,0.013245131,0.005418463,0.006704664,0.010043312,0.003366015,0.007826668,0.005719488,0.01067273,0.014941822,0.012998837,0.009714921,0.011794735,0.018061542,0.027229144,0.019703501,0.021126532,0.009906482,0.022275902,0.019046718,0.015543873,0.025614551,0.014640796,0.020113991,0.027393339,0.023507371,0.029774179,0.024410448,0.062175492,0.029582617,0.037847141,0,0.038038703,0.0552519,0.03092355,0.031881359,0.031251942,0.036889332,0.03751875,0.036889332,0.057796936,0.050955443,0.039872223,0.032237117,0.064884723,0.078978199,0.062503883,0.064912089,0.073313443,0.060697729,0.030731988,0.079361323,0.073039783,0.125691916,0.076515262,0.074052324,0.028925834,0.036040987,0.076405798,0.069345377,0.0579064,0.047479964,0.050791247,0.042690919,0.034809518,0.051420664,0.053993066,0.059630456,0.055717122,0.070056892,0.066417218,0.054184627,0.089377269,0.073450273,0.097286036,0.083575683,0.079115029,0.073833396,0.042061501,0.076214236,0.070576846,0.061381878,0.074955401,0.069345377,0.058344255,0.035356838,0.065760434,0.06592463
0,0,1.53E-05,0,0,7.66E-06,0,2.30E-05,2.30E-05,0,1.53E-05,3.06E-05,6.13E-05,0,7.66E-06,3.83E-05,7.66E-06,0,1.53E-05,4.60E-05,0,7.66E-06,0.000160869,2.30E-05,7.66E-06,7.66E-06,7.66E-06,3.06E-05,7.66E-05,2.30E-05,2.30E-05,5.36E-05,0.000153209,9.96E-05,0.000130228,7.66E-05,0.000536231,0.000153209,0.000237474,0.000543892,0.000160869,0.000199172,0.000199172,0.000406004,7.66E-05,0.00016853,0.000191511,6.13E-05,4.60E-05,6.13E-05,0.000160869,0.000153209,0.000804347,0.000390683,0.000643477,0.000834989,0.000413664,0.000183851,0.001233332,0.000635817,0.000988197,0.000819668,0.001348238,0.002359417,0.001493787,0.00155507,0.001585712,0.001095444,0.001938093,0.000597515,0.001800205,0.000612836,0.001991716,0.00137122,0.000850309,0.001754242,0.001800205,0.000789026,0.000789026,0.002443682,0.001325257,0.000873291,0.001968734,0.001922772,0.002091302,0.000919253,0.001432503,0.00137888,0.00137888,0.000980537,0.001256313,0.000635817,0.001195029,0.002696477,0.000605175,0.001631675,0.002512626,0.000428985,0.002022358,0.001861488,0.001646996,0.002152585,0.003278671,0.003087159,0.001578052,0.001700619,0.003699995,0.005714692,0.001348238,0.001907451,0.003408898,0.004741816,0.005783636,0.004833741,0.006113035,0.009721105,0.010088807,0.01015009,0.010173071,0.008824833,0.013980313,0.011850709,0.010977418,0.0082503,0.010004542,0.010854851,0.012340978,0.014907227,0.020514673,0.019702666,0.015841801,0.019909498,0.017136416,0.018362088,0.021112187,0.023034959,0.02132668,0.017649666,0.018844696,0.022843448,0.023119224,0.026934126,0.030565177,0.031844471,0.02373972,0.0295923,0.029937021,0.029661245,0.029224599,0.027140958,0.017565401,0.018867677,0.024444481,0.022514049,0.019181755,0.018936621,0.016209502,0.018522957,0.009583217,0.010249676,0.01668445,0.01582648,0.017442834,0.014907227,0.015566025,0.010893153,0.014493563,0.023686097,0.01168984,0.008709926,0.01323725,0.014010955,0.010464168,0.011299157,0.012946153,0.010540773,0.014378656,0.00963684,0.012118825,0.015941387,0.003868525
3.19E-05,0,0,0,0,0,6.39E-05,9.58E-05,0,0,3.19E-05,3.19E-05,3.19E-05,0,0,0,0,0,3.19E-05,0,0,0,0.000255441,0,0.000415091,0,6.39E-05,0,0,9.58E-05,0,0,0,0,0,0,0,3.19E-05,0,0,3.19E-05,0,6.39E-05,9.58E-05,0,0.000447021,3.19E-05,3.19E-05,0,0,0,0,0,0,0,0,3.19E-05,0.000191581,3.19E-05,0.000606672,0.000223511,0.000255441,0.000447021,0.000415091,0.001404924,0.001341064,0.001213344,0.001245274,0.002235107,0.000255441,0.000957903,0.000510882,0.001021763,0.001628435,0.001564575,0.000542812,0.00332073,0.002809849,0.003927402,0.001404924,0.004789515,0.002777919,0.002554408,0.000702462,0.004342493,0.000989833,0.002650198,0.004789515,0.003001429,0.000798252,0.002650198,0.002618268,0.002618268,0.000415091,0.007471643,0.000894043,0.001883876,0.001820016,0.001053693,0.002969499,0,0.003735822,0.00316108,0.00316108,0.002554408,0.002330897,0.001660365,0.003065289,0.001468785,0.00312915,0.003512311,0.003512311,0.004789515,0.002937569,0.004150913,0.005172676,0.005044956,0.005172676,0.005108816,0.006162509,0.007407783,0.008589196,0.005555837,0.004917235,0.005364257,0.007631294,0.009132008,0.015230657,0.011367115,0.011590626,0.009419379,0.01634821,0.009004288,0.007088482,0.010377282,0.009547099,0.004661794,0.007918664,0.013506432,0.00654567,0.016763302,0.015198727,0.010696583,0.01293169,0.00957903,0.015358377,0.018168226,0.014017313,0.017369974,0.01615663,0.015454168,0.017689274,0.025799519,0.020818424,0.03244098,0.032217469,0.018136296,0.026821283,0.036272592,0.041094037,0.038603489,0.045915481,0.039752972,0.048310239,0.042977912,0.045053369,0.060156305,0.073311506,0.072928345,0.085157572,0.080751219,0.067053207,0.064403008,0.090489899,0.089979017,0.08774391,0.094608881,0.099621907,0.071140259,0.106518808,0.110158839
0.000835505,0.000442326,0.000147442,0,9.83E-05,-4.91E-05,0.000245737,4.91E-05,0.000147442,0,0.000688063,0.002162483,0.001130389,0.001572715,0.003292871,0.008207604,0.002899693,0.002850545,0.000982947,0.002604809,0.004570702,0.002506514,0.008993962,0.008158457,0.004177523,0.01749645,0.002506514,0.000835505,0.003047135,0.003292871,0.009141404,0.005406207,0.003833492,0.00368605,0.004521555,0.006290858,0.006782332,0.005455354,0.014400168,0.009337993,0.01012435,0.006143416,0.003735197,0.010959855,0.018872575,0.020985911,0.017152419,0.01012435,0.021035058,0.022018005,0.016611798,0.011009002,0.018725133,0.015235673,0.019953817,0.017643892,0.023197541,0.020887616,0.021526531,0.035435226,0,0.024573666,0.026244675,0.028063127,0.032437239,0.029046073,0.024966845,0.031208556,0.020248701,0.038924687,0.050326868,0.054307802,0.057158347,0.063645795,0.048655859,0.063793237,0.074359913,0.066791224,0.065365951,0.064874478,0,0.112498243,0.067135255,0.073770145,0.092249542,0.105027848,0.104880406,0.109303666,0.080945656,0.09136489,0.118641659,0.141396874,0.15417518,0.178404815,0.147441996,0.142969588,0.193984519,0.186170093,0.166609455,0.170049768,0.144886334,0.141986642,0.10242304,0.108074983,0.120017785,0.116626619,0.123851276,0.123114066,0.110286613,0.067774171,0.098687842,0.099916526,0.107485215,0.102668776,0.087531398,0.077308753,0.061237576,0.078930615,0.080945656,0.081191392,0.071853399,0.072492315,0.059517419,0.046886555,0.066299751,0.060303776,0.051162373,0.050376015,0.056126253,0.052833382,0.030127314,0.051899582,0.050867489,0.053718034,0.058731062,0.054946717,0.047230586,0.039563602,0.033125302,0.052882529,0.063842384,0.05858362,0.069002854,0.063891531,0.034747164,0.061778196,0.05470098,0.046984849,0.05858362,0.062711996,0.03204406,0.03867895,0.067528434,0.06870797,0.059714008,0.061434165,0.069396033,0.071263631,0.052145319,0.07588348,0.083206433,0.090431091,0.088858376,0.096033887,0.0994742,0.066742077,0.113628631,0.123310656,0.134516247,0.143215325,0.146115018,0.160023713,0.102079008,0.177372721,0.198506074,0.211726706,0.209662518,0.212365621,0.208138951,0.158696735,0.209515076
0,0,0,0,0,0,0.001900965,0,0,0,0.00126731,0,0,0,0.000633655,0,0.000633655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004435585,0.000633655,0.00126731,0.007603861,0.005702896,0.00506924,0.00253462,0.00126731,0.00126731,0.000633655,0.006970206,0.000633655,0,0.000633655,0.000633655,0,0.000633655,0,0.000633655,0.00506924,0,0.05512799,0.019009652,0.044989509,0.020910617,0.019009652,0.018375997,0.017742342,0.019009652,0.029148133,0.038019304,0.025979857,0.017742342,0.023445237,0.017108687,0.031049098,0.012673101,0.018375997,0,0.069702056,0.028514478,0.026613512,0.027880823,0.027880823,0.0563953,0.044355854,0,0.074137642,0.045623164,0.060197231,0,0.127998322,0.04879144,0.032950063,0.057028955,0.086177088,0.070969367,0.063365506,0.074137642,0.05386068,0.082375158,0.10772136,0.125463702,0.099483844,0.124196392,0.114057911,0.109622325,0.124196392,0.11025598,0.094414604,0.11025598,0.120394461,0.092513639,0.110889635,0.163483005,0.10645405,0.127998322,0.136235838,0.132433907,0.177423416,0.213541755,0.181225347,0.16411666,0.22051196,0.121028116,0.211007135,0.16411666,0.32062946,0.200868654,0.262966849,0.304154428,0.361183384,0.301619808,0.233818717,0.190096518,0.224947546,0.214809065,0.21671003,0.268669745,0.243957198,0.193898448,0.132433907,0.088078053,0.248392783,0.314926564,0.288946707,0.331401596,0.346609317,0.285778432,0.262333194,0.372589175,0.403004617,0.451796057,0.32189677,0.375123795,0.236986992,0.21797734,0.289580362,0.393499792,0.404905583,0.351678558,0.468904744,0.257897609,0.193898448,0.388430551
2.77E-05,6.93E-05,0.000152556,0.000152556,0,5.55E-05,6.93E-05,6.93E-05,2.77E-05,0.00011095,6.93E-05,0.000208031,1.39E-05,0.00011095,6.93E-05,0.00011095,0.000138687,0.000235769,0.000305112,0.000291244,0.000194162,0.000859862,0.000929206,0.001719725,0.001164975,0.000318981,0.001539431,0.001608775,0.002274475,0.002343819,0.003841644,0.005089831,0.002718275,0.003314631,0.003175944,0.003009519,0.002648931,0.0035504,0.003189812,0.003425581,0.002718275,0.004687637,0.004340919,0.004521212,0.004618294,0.005186912,0.00521465,0.006116119,0.005270125,0.005367206,0.005408812,0.005464287,0.005519762,0.004812456,0.005020487,0.005048225,0.004493475,0.004715375,0.014659269,0.005422681,0.005075962,0.005478156,0.005505894,0.0051037,0.005034356,0.005492025,0.00543655,0.005602975,0.005006619,0.005186912,0.005089831,0.005159175,0.005672319,0.006046775,0.005838744,0.005783269,0.006698606,0.006712475,0.007073062,0.006906637,0.006629262,0.006587656,0.006504444,0.007031456,0.007086931,0.006865031,0.007086931,0.007017587,0.007086931,0.007239487,0.007156275,0.007045325,0.007489125,0.007475256,0.008043875,0.007835844,0.007572337,0.007932925,0.008002269,0.007974531,0.008515412,0.008473806,0.008570887,0.008584756,0.009361406,0.009444619,0.009527831,0.00987455,0.010054844,0.010193531,0.010789887,0.010859231,0.011940994,0.012135156,0.01209355,0.012190631,0.012509612,0.012689906,0.012689906,0.012884069,0.013161444,0.013314,0.013383344,0.013841012,0.014229337,0.014146125,0.014950512,0.014811825,0.014992119,0.016587025,0.014589925,0.015366575,0.01586585,0.016073881,0.015990669,0.014215469,0.015241756,0.014187731,0.014062912,0.014839562,0.014284812,0.014825694,0.015269494,0.01520015,0.014784087,0.015699425,0.016018406,0.015116937,0.0148673,0.014964381,0.015546869,0.014284812,0.015144675,0.015810375,0.016157094,0.016697975,0.016808925,0.015269494,0.014797956,0.015449787,0.016489944,0.016434469,0.017654919,0.017779737,0.017682656,0.017904556,0.018431569,0.017460756,0.018376094,0.01830675,0.018181931,0.018514781,0.018445437,0.017960031,0.018431569,0.018473175,0.0186396,0.018930843,0.018389962,0.018500912,0.018708944
